epoch,train_loss,train_mse,train_fc_loss,train_protein_corr_loss,balanced_val_rmse,balanced_val_delta_pcc
1,0.7710263082321654,0.7710117964034385,0.0,0.0,0.8895888924598694,0.165787042877255
2,0.6492875091573025,0.6492626261203847,0.0,0.0,0.8557672500610352,0.1740807033061473
3,0.6104114093679063,0.6103817364002796,0.0,0.0,0.837875172495842,0.17525915502761658
4,0.5999467372894287,0.5999153408598392,0.0,0.0,0.8326120227575302,0.17692236332658737
5,0.5935712545476062,0.5935380458831787,0.0,0.0,0.8377617597579956,0.17987344018605983
6,0.5896130178837066,0.5895783977305635,0.0,0.0,0.8339112251996994,0.18317601900768535
7,0.5852355995076768,0.5852003008761304,0.0,0.0,0.8319204300642014,0.18639311674831824
8,0.584881493385802,0.5848454275029771,0.0,0.0,0.8217277079820633,0.1858539086016299
9,0.5825404296530053,0.5825041519834641,0.0,0.0,0.8322273194789886,0.18559976122180638
10,0.5809556233121994,0.5809176133034077,0.0,0.0,0.8322583138942719,0.18716733183440917
11,0.5796914671329741,0.5796531242259005,0.0,0.0,0.8345187455415726,0.186908664142248
12,0.573257973219486,0.57321815858496,0.0,0.0,0.8274120092391968,0.1880631825038384
13,0.576179159448502,0.5761389567496928,0.0,0.0,0.8283839523792267,0.18982162055914176
14,0.5728627386245322,0.5728219576338505,0.0,0.0,0.8331129848957062,0.1883369033963158
15,0.5731970769293765,0.5731549313727845,0.0,0.0,0.8253722041845322,0.18907362542742975
16,0.5720047811244396,0.5719621599988735,0.0,0.0,0.8266951590776443,0.18968649726571205
17,0.5721091044710037,0.5720656640986179,0.0,0.0,0.8280379623174667,0.1882698908850113
18,0.567557435086433,0.5675133168697357,0.0,0.0,0.8286928534507751,0.19018487155813588
