epoch,train_loss,train_mse,train_fc_loss,train_protein_corr_loss,balanced_val_rmse,balanced_val_delta_pcc
1,0.9243894777399428,0.7326452681358825,0.8101312581529009,0.5939235712619538,0.796764686703682,0.19081505228642212
2,0.6321870811442112,0.4626217452769584,0.7627601953262978,0.3390293387656516,0.6314702183008194,0.2410647365285708
3,0.47370171356708446,0.3191306901738999,0.7135313850768069,0.23546731598833773,0.5916449725627899,0.2719469728337592
4,0.3978373427340325,0.2540082500336018,0.6703522661898998,0.1930851162748134,0.5601552128791809,0.2924356969286679
5,0.3603621429585396,0.2232724203074232,0.6414071055168801,0.17386621490437934,0.5388209670782089,0.3050619697609438
6,0.3381318557769694,0.20587104178489524,0.6203026784227249,0.16151164186761735,0.5227104797959328,0.31231527692294997
7,0.3241099537687099,0.1947284556449728,0.6078129258561642,0.15375538962952634,0.5136605352163315,0.3211957362891707
8,0.3149123255242693,0.18800600633976308,0.5966205444741757,0.14890915789502732,0.5055787786841393,0.3260111511563508
9,0.30590237391755937,0.18099911923104145,0.5879667033540442,0.14337477151383746,0.49930962175130844,0.32952177699497276
10,0.2995891811999869,0.17639090057383192,0.5802917011240696,0.1398860495141212,0.49493760615587234,0.33410490742526633
11,0.2941005052404201,0.17240147419432375,0.5734714054046793,0.13712598922404837,0.4897257462143898,0.3371075489306758
12,0.2886153332730557,0.16816720366477966,0.5679867622700143,0.1339796375721059,0.4864738658070564,0.3400507660879869
13,0.28442627064725184,0.16525181715792797,0.5622466143141401,0.1314130222543757,0.4815555289387703,0.3427953461304318
14,0.2807042161200909,0.162533515628348,0.5576115415451375,0.12983020696234196,0.4809039607644081,0.34327530997371186
15,0.27723532154205,0.15987449821005476,0.5541644007601636,0.12738212626031103,0.47695234417915344,0.3471795367963525
16,0.2736206549279233,0.1573757992145863,0.5490860888298522,0.12533528880870087,0.4747111275792122,0.34859637282493444
17,0.2711141978172546,0.1557328888076417,0.5449370564298427,0.12462526179374532,0.4734116792678833,0.34988857952486213
18,0.2681245784810249,0.1534764398919775,0.5417413889093602,0.12271149488205606,0.47287584096193314,0.35058532951369326
19,0.2657996378046401,0.15201645709098655,0.5377229832588358,0.12147010260439933,0.46935829520225525,0.3548836063569686
20,0.26388456529759347,0.1507171408293095,0.5348628734020476,0.12056882077075065,0.47079332917928696,0.3527798537440905
21,0.26201239640408375,0.14959881692490679,0.53137979608901,0.11939787230593094,0.4676390141248703,0.3559865345648394
22,0.2601030627463726,0.14804396413742227,0.5298100342141822,0.11856805263681615,0.4672127664089203,0.3571761920714031
23,0.25817014498913543,0.14683912440817407,0.5264611840248108,0.11738039838506821,0.4659038782119751,0.3582272843284411
24,0.2565415289173735,0.14579402544396988,0.5237128658497587,0.1166994850686256,0.4658074602484703,0.357039897606713
25,0.2550328811432453,0.14456840874032773,0.5224564303743079,0.11605326545999405,0.4659252017736435,0.3581841924077912
26,0.253306988388934,0.14340223498800966,0.5199258543075399,0.11495916260049698,0.46556828916072845,0.35712868790766644
27,0.2518872938891675,0.14254295984481244,0.5173041110343122,0.11422946858913341,0.4649020805954933,0.35908629880077775
28,0.251079779356084,0.14215786723380394,0.5152360834973924,0.11404678035289684,0.4642537459731102,0.36058996789269215
29,0.24956059931440555,0.14089856487005314,0.5141951606628743,0.11300869317764932,0.46392156183719635,0.36044889198284447
30,0.2488854964996906,0.14065406043478784,0.5119853869397589,0.11322783282462587,0.46302884072065353,0.36014822185557016
31,0.24776141028454962,0.13986708731093306,0.5106241893261037,0.1119117039315244,0.4636109247803688,0.36151423917465664
32,0.24683230005680246,0.13915648105296682,0.5096825424661028,0.11130954864177298,0.463360495865345,0.3610288039029992
33,0.24597219742359,0.13874295227071073,0.5074549837315336,0.11128529335590119,0.46256861835718155,0.3615815727063556
34,0.24480630108650694,0.1379726544973698,0.5055912669668806,0.11082868626777162,0.46331416815519333,0.3624012797351437
35,0.24385750801005263,0.13737527122522922,0.5039533249875332,0.11036135668450213,0.4620366096496582,0.3619126878843705
36,0.24315648002827422,0.1366764265806117,0.5040593223368868,0.10986764507090792,0.46301577240228653,0.3617960786674315
37,0.24280604846934054,0.13657503527529696,0.502793863732764,0.10997775387256703,0.4630308598279953,0.36175883472934545
38,0.24167648813825973,0.1360101487408293,0.5001525257496123,0.10924010834795364,0.46151353418827057,0.36387035436375603
39,0.24065630106215782,0.13525396886658161,0.4990205206769578,0.10848162402497961,0.460616759955883,0.36668269921063856
40,0.2402133713377283,0.13484352399060068,0.4989562922335686,0.10810331207640628,0.46092934906482697,0.36560814179082224
41,0.23974851439607905,0.13464050201025415,0.49763244136850887,0.10815713126608666,0.46282948553562164,0.3639395415687259
42,0.23878388011709173,0.13408431537607882,0.4956507834982365,0.10791869746877793,0.4623824283480644,0.3637475294326148
43,0.23767012643053176,0.13330071562148155,0.49416859226023896,0.10725255595876816,0.46211885660886765,0.36582123067434746
44,0.2376468225996545,0.13337984744538653,0.49365648310235205,0.10724594872048561,0.46062368154525757,0.3667778597747492
45,0.23695090761844148,0.13268318455269995,0.49374009700531657,0.10692655786554864,0.4617549851536751,0.3650511403681082
46,0.23613192394692847,0.1322884255267204,0.49170382859859063,0.10659451814407998,0.46127552539110184,0.36644763596320257
47,0.23538411804970275,0.13172572708510338,0.4909058225915787,0.10608361376092788,0.4620685949921608,0.3651887503866989
48,0.23481837834449523,0.13121587101449358,0.4907279331633385,0.10568796700619637,0.46147675812244415,0.36578658846136464
49,0.23468047158515198,0.13118403452507993,0.4902807296590602,0.10536631244294187,0.46292002499103546,0.36474231620328423
