split,baseline,scene_samples_total,treatment_samples,eligible_samples,log2_rmse,global_r2,protein_r2_median,evaluated_proteins,paired_values
val_chem_only,protein_mean,1065,1065,1065,1.006052017211914,0.8696607351303101,-0.03660029172897339,4422,4021051
val_chem_only,matched_control,1065,1065,1065,0.3562071621417999,0.9832441806793213,0.8570023775100708,4422,3950875
val_strain_only,protein_mean,1547,1333,1333,0.8734897375106812,0.9000124931335449,-0.03636014461517334,4421,5088955
val_strain_only,matched_control,1547,1333,1333,0.380648672580719,0.9805096387863159,0.75492262840271,4413,4998655
val_both,protein_mean,269,269,269,0.9947238564491272,0.8727109432220459,-0.06405043601989746,4414,1008739
val_both,matched_control,269,269,269,0.3586021363735199,0.9830471277236938,0.8346474170684814,4407,991410
val_time,protein_mean,157,139,139,0.8803050518035889,0.8994210958480835,-0.009133577346801758,4422,521097
val_time,matched_control,157,139,139,0.4119724631309509,0.9774665236473083,0.7509943544864655,4422,513329
