epoch,train_loss,train_mse,train_fc_loss,train_protein_corr_loss,balanced_val_rmse,balanced_val_delta_pcc
1,1.0546447114741548,0.8437930193353207,0.8277540841001145,0.9057592736913803,0.8750017583370209,0.17187545130542367
2,0.8282682464477864,0.6378887219631926,0.8059384860890977,0.58330688831654,0.7056794464588165,0.21148318792569865
3,0.6703532743961254,0.4923664864073408,0.784760629877131,0.4198053441149123,0.6361722648143768,0.2311425180705352
4,0.5942871710087391,0.4237112929212286,0.7673812533946748,0.3410160757125692,0.5938549041748047,0.2532631727504454
5,0.5440004138236351,0.37929011976465266,0.7488585532979762,0.2977603851480687,0.569536879658699,0.26491551246065903
6,0.5032118045269175,0.3437507298398525,0.7303909532567288,0.2665953319123451,0.5477388054132462,0.2798507826534337
7,0.47823989010871726,0.322074182490085,0.7180471800743266,0.2500271518179711,0.5341709405183792,0.2884270095702042
8,0.4563413528685874,0.30345823409709527,0.7052699289423354,0.23545522385455192,0.5215106308460236,0.2967676844218592
9,0.4444811762647426,0.2936957966774068,0.6966464697046483,0.227979247874402,0.517259769141674,0.29783803768999606
10,0.43169180002618346,0.2827630940269917,0.6894529385769621,0.21959031008659524,0.5055975764989853,0.3098922724507576
11,0.4261495255409403,0.2785673515593752,0.6831826136467305,0.21772190611413184,0.5010883808135986,0.31436027891245416
12,0.4163182980202614,0.27041653781495195,0.6761526135688133,0.21221280224779818,0.49498138576745987,0.32204300240699446
13,0.40915223385425326,0.26424188721687236,0.6723721699511751,0.20748085164009256,0.49097733944654465,0.3249642785115663
14,0.40111902356147766,0.2575000759134901,0.6668723618730585,0.2036447448933378,0.48768990486860275,0.32893521676720944
15,0.39385030307668323,0.2513550852841519,0.6624758941061953,0.19872537572333154,0.48564305156469345,0.3299333126313032
16,0.3925907358210138,0.250777616145763,0.6593471245562776,0.19758875192479886,0.48169082403182983,0.3328496955855762
17,0.3881585547264586,0.2471043565805922,0.6560073292001765,0.19575271961536814,0.4796605333685875,0.3363188498609842
18,0.38719589469280646,0.24641837813752762,0.655150241040169,0.1936462369370968,0.479885570704937,0.3380117846948453
19,0.3811924375118093,0.24112037490022944,0.6524741992037347,0.1902232715424071,0.47563276439905167,0.34381853211387026
20,0.3793670141950567,0.23971761002185496,0.6506031840405566,0.1892401601405854,0.4773480147123337,0.34098547437398696
21,0.37671757822341106,0.2377310166967676,0.6478913033262212,0.18682124005987288,0.4759332165122032,0.3414863731874017
22,0.3756881292830122,0.2374018005868222,0.644328052693225,0.1870674452883132,0.4729202166199684,0.34341359619155204
23,0.37152401246923084,0.23396983615895536,0.6415139626949391,0.18367118784721861,0.4712458774447441,0.34676831371420413
24,0.3707163321210983,0.23339019747490578,0.6404819640707462,0.18324035532931063,0.46759994328022003,0.3494492804634472
25,0.36477588022008856,0.2281333068583874,0.6380357945219,0.17934596158088523,0.4658639505505562,0.3525469073094244
26,0.3639100923183117,0.2277055988286404,0.635899581807725,0.17912638060590055,0.46768420934677124,0.3477757539747679
27,0.36516064595668873,0.22905520143661093,0.6352352614098407,0.1798026904146722,0.46731604635715485,0.3492484136476424
28,0.36044384000149177,0.22500608480991202,0.6326544741366772,0.17676584898157321,0.46603622287511826,0.3516919948418299
29,0.3574706626699326,0.22258116590215804,0.6304882447770301,0.17445408029759185,0.46476835757493973,0.35407981815920053
30,0.3568973370054935,0.22215172363088487,0.6297166296776305,0.17466956630666206,0.46356431394815445,0.3533307213583468
31,0.35657380679820444,0.2219933861113609,0.629131351379638,0.17368670093252303,0.46310170739889145,0.3540188856293487
32,0.35382780305882716,0.21954255027973907,0.6280795449906207,0.1719964527069254,0.46119852364063263,0.35711820773282676
33,0.3535389583161537,0.21968710327402075,0.6258471278434105,0.17224931843737337,0.4602266177535057,0.3581272416490249
34,0.3508191793522936,0.21726653074964564,0.6247639998476556,0.1706087716082309,0.4613713324069977,0.3564456667254225
35,0.35002577051203304,0.21694444310157857,0.6225680417202889,0.1699616033980187,0.46088097989559174,0.3578756286426448
36,0.35013122444457195,0.21685951345778526,0.6233914114059286,0.17047438088883746,0.4564761370420456,0.36249622579124374
37,0.3498641613950121,0.21693045376463138,0.6216143623311469,0.17083329342781228,0.46201325953006744,0.35430244592650173
38,0.3452761858067614,0.2131403589502294,0.6185987262015648,0.16692833443905444,0.45805487781763077,0.35989519702079764
39,0.3459502211276521,0.21399281728774944,0.6175482146283413,0.1675692175297027,0.4584925249218941,0.3609756837067118
40,0.34365938508764227,0.21190336600263068,0.6170176216896545,0.16565927038801478,0.45332566648721695,0.3664665970424693
41,0.34187163444275553,0.2104772446637458,0.6154757585931332,0.1645961099482597,0.4541968107223511,0.3637905859103844
42,0.3423285890132823,0.2109685407039967,0.6150883030384144,0.16546374939857644,0.4551771655678749,0.36333513704842835
43,0.3399213089587841,0.20908988790309174,0.6128502906636989,0.16384353536240598,0.4559530168771744,0.362509106104805
44,0.34118298964297517,0.21044419135184997,0.6122394077321316,0.16443526618024137,0.4570360630750656,0.3618800486971627
45,0.34039722731772887,0.20940411693238198,0.6135213096091088,0.16440070436355916,0.4546564370393753,0.36437552663026446
46,0.33494790310555317,0.20520106718895284,0.6081105711612296,0.16110537914519615,0.4538208916783333,0.3635986038887631
47,0.3371706636662179,0.20715752782973837,0.609122763288782,0.16239315398195955,0.4547084793448448,0.3638601532844923
48,0.33778780508548656,0.20767788557296105,0.6095479840927935,0.16262945723026356,0.45374736189842224,0.3627822021332351
