epoch,train_loss,train_mse,train_fc_loss,train_protein_corr_loss,balanced_val_rmse,balanced_val_delta_pcc
1,0.7287183644923758,0.7287021051061914,0.0,0.0,0.777692973613739,0.18578802120626894
2,0.4796467296620633,0.4796164593798049,0.0,0.0,0.6131564527750015,0.2409190068001621
3,0.3604939541918166,0.36045187394669714,0.0,0.0,0.5568092912435532,0.26731770262543786
4,0.3097542422883054,0.3097087893080204,0.0,0.0,0.5259951129555702,0.28873137298288554
5,0.28261149690506304,0.2825641930103302,0.0,0.0,0.5098269730806351,0.2980359985907265
6,0.26640141200512013,0.2663518193554371,0.0,0.0,0.4925113245844841,0.31250770560798014
7,0.25698511587812545,0.256933608904798,0.0,0.0,0.4867330342531204,0.3187546148956431
8,0.25014883723664794,0.25009513028124547,0.0,0.0,0.48239796608686447,0.32387222318719805
9,0.24483716075724743,0.2447819731971051,0.0,0.0,0.48022469133138657,0.3242240428355598
10,0.2409852166125115,0.24092874977182835,0.0,0.0,0.478922039270401,0.32957485309278145
11,0.23723502076686698,0.23717682380625543,0.0,0.0,0.4721270203590393,0.3325339699567341
12,0.23407022623305626,0.23401058893254462,0.0,0.0,0.4699207842350006,0.33786365906081517
13,0.2319818579770149,0.2319216217766417,0.0,0.0,0.4655049815773964,0.33899167525225055
14,0.22760219998816225,0.2275411068124974,0.0,0.0,0.46353779733181,0.34251759028034656
15,0.22711014937847218,0.22704819700819381,0.0,0.0,0.462474949657917,0.3444947420256474
16,0.22418788265674672,0.22412514147606302,0.0,0.0,0.4620293155312538,0.3415575881759495
17,0.22147923010460874,0.22141519886382083,0.0,0.0,0.45844666659832,0.34908231291915426
18,0.22106494643586747,0.22100082547106642,0.0,0.0,0.45898064225912094,0.34912089862121143
19,0.22069935183575812,0.2206348364657544,0.0,0.0,0.4558379426598549,0.35246417594732316
20,0.21528718414458822,0.21522144212367686,0.0,0.0,0.459843710064888,0.34883501794062666
21,0.21452276503786127,0.21445638416929447,0.0,0.0,0.45435940474271774,0.3551112849490037
22,0.21511105083404702,0.21504412971912545,0.0,0.0,0.456597201526165,0.35035747483873125
23,0.21572047281772533,0.21565331360127063,0.0,0.0,0.4564022123813629,0.353976796970796
24,0.21157106693754804,0.21150306501287094,0.0,0.0,0.4547811448574066,0.3565256177987532
25,0.2110964335659717,0.21102777313678822,0.0,0.0,0.4541979879140854,0.35717675542291055
26,0.20994775916667693,0.2098785565888628,0.0,0.0,0.45683635026216507,0.3511962279009389
27,0.2129191892578247,0.21285017976101409,0.0,0.0,0.45033200830221176,0.35927059197099925
28,0.21002343233595502,0.2099544735665017,0.0,0.0,0.4514209255576134,0.3572505050199284
29,0.20757566202194133,0.2075058770306567,0.0,0.0,0.4523632600903511,0.356444481194097
30,0.20635567415267864,0.20628591230575075,0.0,0.0,0.4490938037633896,0.3623962379349182
31,0.2076102444466124,0.20753928892155912,0.0,0.0,0.44638727605342865,0.36466180751038835
32,0.20501970293674063,0.20494840658725577,0.0,0.0,0.4490835815668106,0.36073783221959677
33,0.205926369479362,0.20585505410711816,0.0,0.0,0.4470361992716789,0.3635395986719383
34,0.203335110811477,0.20326317244387687,0.0,0.0,0.4498284086585045,0.36099489779552
35,0.20408748946291336,0.20401539098709187,0.0,0.0,0.4454280659556389,0.3653469619443262
36,0.20208092128976862,0.20200842745760653,0.0,0.0,0.45143886655569077,0.3611895386956805
37,0.20340457653745692,0.20333181480143933,0.0,0.0,0.4505836144089699,0.3580059466160464
38,0.2033457711656043,0.2032728540770551,0.0,0.0,0.4481189623475075,0.364821166794589
39,0.1987083138937646,0.19863474908027243,0.0,0.0,0.4478929787874222,0.3654970544989358
40,0.20110842997723438,0.20103472090782004,0.0,0.0,0.44737888872623444,0.36522710653703494
41,0.19879154353699785,0.19871717628012311,0.0,0.0,0.4460056647658348,0.3647407838375165
42,0.19903222011758925,0.1989580789145003,0.0,0.0,0.4472893625497818,0.3644368632457116
43,0.1971660443442933,0.19709205405509217,0.0,0.0,0.4428206607699394,0.3707744600305404
44,0.19865760080357817,0.1985830712191602,0.0,0.0,0.4467451795935631,0.3669919508797704
45,0.19760402688320647,0.19752942628048836,0.0,0.0,0.44457757472991943,0.36653042127993607
46,0.19797527726660383,0.19790091698474072,0.0,0.0,0.44402771443128586,0.3709010806883771
47,0.1953707514925206,0.19529562364233302,0.0,0.0,0.44466156512498856,0.36862998024842764
48,0.19572767900659682,0.19565246618808585,0.0,0.0,0.44121526926755905,0.3701225577166274
49,0.1981901821303875,0.1981154169808043,0.0,0.0,0.44811055064201355,0.36465637939316486
50,0.19807625070531318,0.19800169639130857,0.0,0.0,0.44490543007850647,0.3696266336114217
