epoch,train_loss,train_mse,train_fc_loss,train_protein_corr_loss,balanced_val_rmse,balanced_val_delta_pcc
1,0.8023969277422479,0.8023969277422479,0.0,0.0,0.9124634563922882,0.16426969320686732
2,0.6975083541362843,0.6975083541362843,0.0,0.0,0.855277955532074,0.17158042697842582
3,0.6419476638448999,0.6419476638448999,0.0,0.0,0.8535450547933578,0.17448065218691045
4,0.6164364129938977,0.6164364129938977,0.0,0.0,0.8452303111553192,0.1771562655934958
5,0.6067845415561757,0.6067845415561757,0.0,0.0,0.8401089012622833,0.17876549953811854
6,0.6039782889345859,0.6039782889345859,0.0,0.0,0.8369184881448746,0.1810442255893182
7,0.5945611634153001,0.5945611634153001,0.0,0.0,0.8384924083948135,0.1818921656565073
8,0.5950731559002653,0.5950731559002653,0.0,0.0,0.8441523015499115,0.18388763029400113
9,0.5914636507947394,0.5914636507947394,0.0,0.0,0.8289100080728531,0.18501131840581736
10,0.5914424391503029,0.5914424391503029,0.0,0.0,0.8383350372314453,0.18610074236013907
11,0.5867587683048654,0.5867587683048654,0.0,0.0,0.8322095423936844,0.18875390715021698
12,0.5864273588708107,0.5864273588708107,0.0,0.0,0.8355594724416733,0.18855659652244064
13,0.5830045849718946,0.5830045849718946,0.0,0.0,0.8303625881671906,0.18933250327389622
14,0.5871831622529537,0.5871831622529537,0.0,0.0,0.8270169049501419,0.1892195226362241
15,0.5844733651648176,0.5844733651648176,0.0,0.0,0.8327146917581558,0.19016752304038298
16,0.5814824383309547,0.5814824383309547,0.0,0.0,0.8286730200052261,0.19024630251881547
17,0.5815655614467378,0.5815655614467378,0.0,0.0,0.827893540263176,0.1913224290180941
18,0.5804503040110811,0.5804503040110811,0.0,0.0,0.8313719630241394,0.19145365191444527
19,0.5813993126788037,0.5813993126788037,0.0,0.0,0.8296964317560196,0.1929532124676207
20,0.579511691915228,0.579511691915228,0.0,0.0,0.8340781182050705,0.19246606966559687
21,0.5830169129878917,0.5830169129878917,0.0,0.0,0.8293281495571136,0.19266018150399006
22,0.5810800403990644,0.5810800403990644,0.0,0.0,0.8282481133937836,0.1932793505712116
23,0.5768121493623611,0.5768121493623611,0.0,0.0,0.8267394006252289,0.19298804165228878
24,0.5793004340313851,0.5793004340313851,0.0,0.0,0.8252762407064438,0.19586618987029847
25,0.574647344173269,0.574647344173269,0.0,0.0,0.8314514607191086,0.1947620664863428
26,0.5714231311006749,0.5714231311006749,0.0,0.0,0.8253903239965439,0.19386112515703274
27,0.5705710129534944,0.5705710129534944,0.0,0.0,0.8279047608375549,0.1939578187041203
28,0.5703669963998997,0.5703669963998997,0.0,0.0,0.8200018107891083,0.19520746500099026
29,0.570117638466206,0.570117638466206,0.0,0.0,0.8260624259710312,0.19577283036250995
30,0.571345236707241,0.571345236707241,0.0,0.0,0.8211997151374817,0.1952124500773123
31,0.568745142601906,0.568745142601906,0.0,0.0,0.8282229602336884,0.194109671702687
32,0.5671998997952076,0.5671998997952076,0.0,0.0,0.8272429555654526,0.19449054733923138
33,0.5653037454219575,0.5653037454219575,0.0,0.0,0.8206212669610977,0.19613145476875193
34,0.5654633742697696,0.5654633742697696,0.0,0.0,0.8290914744138718,0.19545780612563757
35,0.5669278343941303,0.5669278343941303,0.0,0.0,0.8275557309389114,0.1945028638166849
36,0.5634176623313984,0.5634176623313984,0.0,0.0,0.8243029564619064,0.1949248289533038
37,0.563800298153086,0.563800298153086,0.0,0.0,0.820742130279541,0.19531739192382874
38,0.5635709267981509,0.5635709267981509,0.0,0.0,0.8215333521366119,0.1957222100918105
